ticker,name,sector,date,drop_magnitude,close_price,volume_ratio,prior_volatility_20d,dist_from_52w_low,market_also_dropped,forward_return_5d
JSWSTEEL.NS,JSW Steel,Metals,2022-01-06,-2.959,644.21,1.4761,1.655,85.5089,True,2.0625
ULTRACEMCO.NS,UltraTech Cement,Cement,2022-01-06,-2.6242,7292.49,1.7183,1.4324,41.66,True,1.9876
SHRIRAMFIN.NS,Shriram Finance,Finance,2022-01-06,-2.6804,225.01,0.8611,2.678,15.074,True,2.561
WIPRO.NS,Wipro,IT,2022-01-10,-2.5299,320.36,1.4985,1.5932,73.5268,False,-6.7556
TATASTEEL.NS,Tata Steel,Metals,2022-01-11,-3.3189,99.48,1.9919,2.0279,92.2701,False,5.7155
JSWSTEEL.NS,JSW Steel,Metals,2022-01-11,-3.928,617.21,2.0954,1.8428,77.7329,False,5.343
WIPRO.NS,Wipro,IT,2022-01-13,-6.0172,300.15,2.7969,2.0909,62.5798,False,-5.3174
ASIANPAINT.NS,Asian Paints,Consumer,2022-01-14,-2.6575,3240.07,1.8144,1.318,48.6496,False,-2.6617
AXISBANK.NS,Axis Bank,Banking,2022-01-14,-2.5651,718.7,2.0585,1.4576,14.175,False,-1.2748
HCLTECH.NS,HCL Technologies,IT,2022-01-17,-5.8667,1042.17,2.4653,2.1998,42.8559,False,-9.8821
BAJAJ-AUTO.NS,Bajaj Auto,Auto,2022-01-18,-2.5446,3076.92,2.0778,1.3063,9.5244,True,2.0039
TATASTEEL.NS,Tata Steel,Metals,2022-01-18,-2.838,105.16,1.058,2.1549,103.2594,True,-7.1766
JSWSTEEL.NS,JSW Steel,Metals,2022-01-18,-2.7452,650.19,0.9512,2.1393,87.2293,True,-7.2111
ULTRACEMCO.NS,UltraTech Cement,Cement,2022-01-18,-3.9923,7387.68,1.6983,1.6604,42.527,True,-6.0555
GRASIM.NS,Grasim Industries,Cement,2022-01-18,-3.4633,1809.88,0.7691,2.0794,86.4905,True,-7.0698
EICHERMOT.NS,Eicher Motors,Auto,2022-01-18,-3.7988,2624.99,1.781,1.9133,18.8144,True,-1.6172
SHRIRAMFIN.NS,Shriram Finance,Finance,2022-01-18,-2.8369,222.71,1.4666,1.7841,9.7747,True,-3.09
MARUTI.NS,Maruti Suzuki,Auto,2022-01-18,-4.2387,7634.55,1.629,1.5727,23.3898,True,8.6852
APOLLOHOSP.NS,Apollo Hospitals,Healthcare,2022-01-18,-6.0254,4559.01,5.2765,1.7193,86.2946,True,-2.8121
BEL.NS,Bharat Electronics,Defence,2022-01-18,-3.7644,65.42,1.1448,1.9817,75.7905,True,-1.9919
HCLTECH.NS,HCL Technologies,IT,2022-01-18,-3.0983,1009.88,1.5802,2.1768,38.4298,True,-7.0999
TATACONSUM.NS,Tata Consumer Products,FMCG,2022-01-18,-4.3981,701.78,1.4009,1.7396,31.4107,True,-3.2401
ASIANPAINT.NS,Asian Paints,Consumer,2022-01-19,-2.7655,3159.17,1.6558,1.4604,44.9382,False,-4.9826
INFY.NS,Infosys,IT,2022-01-19,-2.7958,1676.06,1.0755,1.3361,53.6599,False,-10.0935
HINDUNILVR.NS,Hindustan Unilever,FMCG,2022-01-19,-2.5153,2152.72,1.7433,1.081,9.7963,False,-0.6299
DIVISLAB.NS,Divi's Laboratories,Pharma,2022-01-20,-3.3861,4217.24,1.9481,1.4158,32.8332,True,-8.9855
